visitType,trapFunctioning,fishProcessed,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,counterAtEnd,visitTime,siteName,subSiteName,trapVisitID,includeCatch
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-14T10:45:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,4.35,NA,NA,1998-03-15T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,4.8,NA,NA,1998-03-15T09:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,4.763636363636364,NA,NA,1998-03-16T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,5.6,NA,NA,1998-03-16T09:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,5.355172413793103,5.3,NA,1998-03-17T11:20:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-17T10:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.7818181818181817,5.3,NA,1998-03-17T11:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.895121951219512,3.895121951219512,NA,1998-03-18T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-18T09:00:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,5.1,5.1,NA,1998-03-18T09:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,4.319444444444445,4.319444444444445,NA,1998-03-19T09:30:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.908695652173914,3.908695652173914,NA,1998-03-19T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-19T09:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.95,3.95,NA,1998-03-20T09:30:00Z,adams dam,adams dam,NA,Yes
